Scientific name,Latitude,Longitude,Observation date,Collector,Geodetic datum,Sampling method,Verbatim locality,Coordinate uncertainty
R. ursinus,0,0,2009-09-15,Some guy,,,,
R. ursinus,0,0,2009-09-15,Some guy,,,,
R. leucodermis,0,0,2009-09-15,Some guy,,,,
R. ursinus,0,0,2009-09-15,Some guy,,,,
R. ursinus,0,0,2009-09-15,Some guy,,,,
R. leucodermis,0,0,2009-09-15,Some guy,,,,
R. parviflorus,0,0,2009-09-15,Some guy,,,,
R. armeniacus,41.79955,-124.0553,2009-09-16,Some guy,,,,
R. ursinus,41.79968,-124.05507,2009-09-16,Some guy,,,,
R. armeniacus,41.79942,-124.05508,2009-09-16,Some guy,,,,
R. parviflorus,41.79952,-124.05517,2009-09-16,Some guy,,,,
R. parviflorus,0,0,2009-09-16,Some guy,,,,
R. ursinus,0,0,2009-09-16,Some guy,,,,
R. parviflorus,0,0,2009-09-16,Some guy,,,,
R. armeniacus,0,0,2009-09-16,Some guy,,,,
R. parviflorus,0,0,2009-09-16,Some guy,,,,
R. parviflorus,0,0,2009-09-16,Some guy,,,,
R. parviflorus,0,0,2009-09-16,Some guy,,,,
R. ursinus,0,0,2009-09-16,Some guy,,,,
R. parviflorus,41.79905,-124.05528,2009-09-16,Some guy,,,,
R. parviflorus,41.7991,-124.05533,2009-09-16,Some guy,,,,
R. armeniacus,41.7991,-124.05533,2009-09-16,Some guy,,,,
R. ursinus,41.79922,-124.05575,2009-09-16,Some guy,,,,
R. parviflorus,41.7991,-124.05573,2009-09-16,Some guy,,,,
R. armeniacus,41.79873,-124.05573,2009-09-16,Some guy,,,,
R. parviflorus,41.79838,-124.05567,2009-09-16,Some guy,,,,
R. ursinus,41.7986,-124.05563,2009-09-16,Some guy,,,,
R. armeniacus,37.16533,-121.65538,2009-04-10,Some guy,,,,
R. armeniacus,37.16533,-121.65538,2009-04-10,Some guy,,,,
Silven blackberry,38.63472,-121.7866,2009-10-22,Some guy,,,,
Marionberry,38.63468,-121.78663,2009-10-22,Some guy,,,,
Boysenberry,38.63465,-121.78653,2009-10-22,Some guy,,,,
Olallieberry,38.63467,-121.78647,2009-10-22,Some guy,,,,
R. armeniacus,38.6365,-121.7882,2009-10-22,Some guy,,,,
Ollalieberry,38.76258,-120.83495,2009-10-21,Some guy,,,,
Cuthbert Raspberry,38.76242,-120.83472,2009-10-21,Some guy,,,,
Marionberry,38.7624,-120.83478,2009-10-21,Some guy,,,,
Chester thornless blackberry,38.7624,-120.83503,2009-10-21,Some guy,,,,
Chilliwack raspberry,38.76235,-120.83487,2009-10-21,Some guy,,,,
Thornless Marionberry,38.76235,-120.83488,2009-10-21,Some guy,,,,
Loganberry,38.76227,-120.83482,2009-10-21,Some guy,,,,
Siskiyou blackberry,38.76213,-120.83503,2009-10-21,Some guy,,,,
Cascade Delight raspberry,38.76222,-120.83463,2009-10-21,Some guy,,,,
Boysenberry,38.76232,-120.83478,2009-10-21,Some guy,,,,
Autumn Britten raspberry,38.76248,-120.83502,2009-10-21,Some guy,,,,
R. ursinus,38.76272,-120.83443,2009-10-21,Some guy,,,,
R. idaeus,38.76268,-120.83438,2009-10-21,Some guy,,,,
Tayberry,0,0,2009-10-21,Some guy,,,,
R. ursinus,36.18797,-118.66977,2009-09-11,Some guy,,,,
R. ursinus,36.18795,-118.67022,2009-09-11,Some guy,,,,
R. ursinus,38.80293,-121.72347,2007-08-20,Some guy,,,,
R. ursinus,42.66017,-122.70092,2009-08-15,Some guy,,,,
R. armeniacus,38.54333,-121.6953,2009-04-03,Some guy,,,,
inbred R. armeniacus,38.5433,-121.69552,2009-04-03,Some guy,,,,
R. armeniacus,38.54317,-121.69662,2009-04-03,Some guy,,,,
R. armeniacus,38.54315,-121.69742,2009-04-03,Some guy,,,,
R. armeniacus,38.54312,-121.69763,2009-04-03,Some guy,,,,
R. armeniacus,38.54317,-121.69918,2009-04-03,Some guy,,,,
R. armeniacus,38.63723,-121.26227,2009-04-03,Some guy,,,,
R. armeniacus,38.63708,-121.2625,2009-04-03,Some guy,,,,
R. pensilvanicus,38.63688,-121.26273,2009-04-03,Some guy,,,,
R. pensilvanicus,38.63695,-121.26292,2009-04-03,Some guy,,,,
R. ursinus,38.63673,-121.26318,2009-04-03,Some guy,,,,
R. armeniacus,38.63673,-121.26325,2009-04-03,Some guy,,,,
R. ursinus,38.636,-121.26348,2009-04-03,Some guy,,,,
R. ursinus,38.63632,-121.26302,2009-04-03,Some guy,,,,
R. ursinus,38.63653,-121.26278,2009-04-03,Some guy,,,,
R. ursinus,38.637,-121.26063,2009-04-03,Some guy,,,,
